name,description,
The Fool (0),Creates a copy of the last Tarot or Planet card used. (The Fool excluded),
The Magician (I),Enhances 2 selected cards to Lucky Cards,
The High Priestess (II),Creates up to 2 random Planet cards (Must have room),
The Empress (III),Enhances 2 selected cards to Mult Cards,
The Emperor (IV),Creates up to 2 random Tarot cards (Must have room),
The Hierophant (V),Enhances 2 selected cards to Bonus Cards,
The Lovers (VI),Enhances 1 selected card into a Wild Card,
The Chariot (VII),Enhances 1 selected card into a Steel Card,
Justice (VIII),Enhances 1 selected card into a Glass Card,
The Hermit (IX),Doubles money (Max of $20),
The Wheel of Fortune (X),1 in 4 chance to add Foil{ Holographic{ or Polychrome edition to a random Joker,
Strength (XI),Increases rank of up to 2 selected cards by 1 (Rank order: A→2→3→4→5→6→7→8→9→10→J→Q→K→A),
The Hanged Man (XII),Destroys up to 2 selected cards,
Death (XIII),Select 2 cards{ convert the left card into the right card (Drag to rearrange),
Temperance (XIV),Gives the total sell value of all current Jokers (Max of $50),
The Devil (XV),Enhances 1 selected card into a Gold Card,
The Tower (XVI),Enhances 1 selected card into a Stone Card,
The Star (XVII),Converts up to 3 selected cards to Diamonds,
The Moon (XVIII),Converts up to 3 selected cards to Clubs,
The Sun (XIX),Converts up to 3 selected cards to Hearts,
Judgement (XX),Creates a random Joker card (without in-run stickers) (Must have room),
The World (XXI),Converts up to 3 selected cards to Spades,